link href,cover-thumb src,title,subtitle,extra
https://www.gutenberg.org/ebooks/74,https://www.gutenberg.org/cache/epub/74/pg74.cover.small.jpg,"The Adventures of Tom Sawyer, Complete",Mark Twain,9137 downloads
https://www.gutenberg.org/ebooks/2814,https://www.gutenberg.org/cache/epub/2814/pg2814.cover.small.jpg,Dubliners,James Joyce,9053 downloads
https://www.gutenberg.org/ebooks/32449,https://www.gutenberg.org/cache/epub/32449/pg32449.cover.small.jpg,Japanese Girls and Women,Alice Mabel Bacon,8970 downloads
https://www.gutenberg.org/ebooks/30254,https://www.gutenberg.org/cache/epub/30254/pg30254.cover.small.jpg,The Romance of Lust: A classic Victorian erotic novel,Anonymous,8900 downloads
https://www.gutenberg.org/ebooks/45,https://www.gutenberg.org/cache/epub/45/pg45.cover.small.jpg,Anne of Green Gables,L. M. Montgomery,8797 downloads
https://www.gutenberg.org/ebooks/160,https://www.gutenberg.org/cache/epub/160/pg160.cover.small.jpg,"The Awakening, and Selected Short Stories",Kate Chopin,8471 downloads
https://www.gutenberg.org/ebooks/1727,https://www.gutenberg.org/cache/epub/1727/pg1727.cover.small.jpg,The Odyssey,Homer,8442 downloads
https://www.gutenberg.org/ebooks/120,https://www.gutenberg.org/cache/epub/120/pg120.cover.small.jpg,Treasure Island,Robert Louis Stevenson,8339 downloads
https://www.gutenberg.org/ebooks/768,https://www.gutenberg.org/cache/epub/768/pg768.cover.small.jpg,Wuthering Heights,Emily Brontë,8252 downloads
https://www.gutenberg.org/ebooks/16,https://www.gutenberg.org/cache/epub/16/pg16.cover.small.jpg,Peter Pan,J. M. Barrie,8199 downloads
https://www.gutenberg.org/ebooks/158,https://www.gutenberg.org/cache/epub/158/pg158.cover.small.jpg,Emma,Jane Austen,8121 downloads
https://www.gutenberg.org/ebooks/996,https://www.gutenberg.org/cache/epub/996/pg996.cover.small.jpg,Don Quixote,Miguel de Cervantes Saavedra,7962 downloads
https://www.gutenberg.org/ebooks/35,https://www.gutenberg.org/cache/epub/35/pg35.cover.small.jpg,The Time Machine,H. G. Wells,7905 downloads
https://www.gutenberg.org/ebooks/28054,https://www.gutenberg.org/cache/epub/28054/pg28054.cover.small.jpg,The Brothers Karamazov,Fyodor Dostoyevsky,7805 downloads
https://www.gutenberg.org/ebooks/2852,https://www.gutenberg.org/cache/epub/2852/pg2852.cover.small.jpg,The Hound of the Baskervilles,Arthur Conan Doyle,7748 downloads
https://www.gutenberg.org/ebooks/7370,https://www.gutenberg.org/cache/epub/7370/pg7370.cover.small.jpg,Second Treatise of Government,John Locke,7527 downloads
https://www.gutenberg.org/ebooks/135,https://www.gutenberg.org/cache/epub/135/pg135.cover.small.jpg,Les Misérables,Victor Hugo,7496 downloads
https://www.gutenberg.org/ebooks/23,https://www.gutenberg.org/cache/epub/23/pg23.cover.small.jpg,"Narrative of the Life of Frederick Douglass, an American Slave",Frederick Douglass,7357 downloads
https://www.gutenberg.org/ebooks/37134,https://www.gutenberg.org/cache/epub/37134/pg37134.cover.small.jpg,The Elements of Style,William Strunk,7281 downloads
https://www.gutenberg.org/ebooks/58585,https://www.gutenberg.org/cache/epub/58585/pg58585.cover.small.jpg,The Prophet,Kahlil Gibran,7225 downloads
https://www.gutenberg.org/ebooks/203,https://www.gutenberg.org/cache/epub/203/pg203.cover.small.jpg,Uncle Tom's Cabin,Harriet Beecher Stowe,7199 downloads
https://www.gutenberg.org/ebooks/1399,https://www.gutenberg.org/cache/epub/1399/pg1399.cover.small.jpg,Anna Karenina,graf Leo Tolstoy,7174 downloads
https://www.gutenberg.org/ebooks/1497,https://www.gutenberg.org/cache/epub/1497/pg1497.cover.small.jpg,The Republic,Plato,7030 downloads
https://www.gutenberg.org/ebooks/3207,https://www.gutenberg.org/cache/epub/3207/pg3207.cover.small.jpg,Leviathan,Thomas Hobbes,7028 downloads
https://www.gutenberg.org/ebooks/4363,https://www.gutenberg.org/cache/epub/4363/pg4363.cover.small.jpg,Beyond Good and Evil,Friedrich Wilhelm Nietzsche,6993 downloads
https://www.gutenberg.org/ebooks/3825,https://www.gutenberg.org/cache/epub/3825/pg3825.cover.small.jpg,Pygmalion,Bernard Shaw,6843 downloads
https://www.gutenberg.org/ebooks/36,https://www.gutenberg.org/cache/epub/36/pg36.cover.small.jpg,The War of the Worlds,H. G. Wells,6834 downloads
